Timestamp;User_X;User_Y;User_Z;Obj_X;Obj_Y;Obj_Z;Rel_Dist
15,438;-1,9452;1,1176;-3,1201;0,0000;-1092,2270;1,2000;1093,3550
15,489;-1,9452;1,1176;-3,1201;0,0000;-1101,0330;1,2000;1102,1600
15,541;-1,9452;1,1176;-3,1201;0,0000;-1109,8730;1,2000;1111,0010
15,591;-1,9452;1,1176;-3,1201;0,0000;-1115,7870;1,2000;1116,9140
15,644;-1,9452;1,1176;-3,1201;0,0000;-1124,6860;1,2000;1125,8140
15,695;-1,9452;1,1176;-3,1201;0,0000;-1130,6390;1,2000;1131,7660
15,748;-1,9452;1,1176;-3,1201;0,0000;-1139,5970;1,2000;1140,7250
15,800;-1,9452;1,1176;-3,1201;0,0000;-1145,5890;1,2000;1146,7170
15,851;-1,9452;1,1176;-3,1201;0,0000;-1154,6060;1,2000;1155,7340
15,904;-1,9452;1,1176;-3,1201;0,0000;-1163,6590;1,2000;1164,7860
15,956;-1,9452;1,1176;-3,1201;0,0000;-1169,7140;1,2000;1170,8410
16,008;-1,9452;1,1176;-3,1201;0,0000;-1178,8250;1,2000;1179,9520
16,059;-1,9452;1,1176;-3,1201;0,0000;-1184,9190;1,2000;1186,0460
16,111;-1,9452;1,1176;-3,1201;0,0000;-1194,0900;1,2000;1195,2170
16,161;-1,9452;1,1176;-3,1201;0,0000;-1203,2950;1,2000;1204,4220
16,213;-1,9396;1,1176;-3,1037;0,0000;-1209,4520;1,2000;1210,5790
16,263;-1,9235;1,1176;-3,0571;0,0000;-1218,7160;1,2000;1219,8430
16,313;-1,9556;1,1176;-2,9918;0,0000;-1224,9120;1,2000;1226,0390
16,365;-1,9877;1,1176;-2,9265;0,0000;-1234,2360;1,2000;1235,3620
16,417;-2,0206;1,1176;-2,8599;0,0000;-1240,4710;1,2000;1241,5970
16,470;-2,0538;1,1176;-2,7929;0,0000;-1249,8530;1,2000;1250,9790
16,521;-2,0860;1,1176;-2,7280;0,0000;-1259,2710;1,2000;1260,3960
16,574;-2,1189;1,1176;-2,6617;0,0000;-1265,5690;1,2000;1266,6940
16,626;-2,1528;1,1176;-2,5993;0,0000;-1275,0450;1,2000;1276,1700
16,678;-2,2023;1,1176;-2,5826;0,0000;-1281,3820;1,2000;1282,5070
16,729;-2,2509;1,1176;-2,5663;0,0000;-1290,9180;1,2000;1292,0430
16,779;-2,2986;1,1176;-2,5505;0,0000;-1297,2940;1,2000;1298,4190
16,830;-2,3469;1,1176;-2,5344;0,0000;-1306,8880;1,2000;1308,0130
16,882;-2,3674;1,1176;-2,5276;0,0000;-1316,5180;1,2000;1317,6430
16,933;-2,3674;1,1176;-2,5276;0,0000;-1322,9570;1,2000;1324,0820
16,984;-2,3674;1,1176;-2,5276;0,0000;-1332,6450;1,2000;1333,7700
17,037;-2,3674;1,1176;-2,5276;0,0000;-1339,1240;1,2000;1340,2480
17,089;-2,3674;1,1176;-2,5276;0,0000;-1348,8710;1,2000;1349,9950
17,140;-2,3674;1,1176;-2,5276;0,0000;-1358,6530;1,2000;1359,7780
