Timestamp;Head_X;Head_Y;Head_Z;Head_RotX;Head_RotY;Head_RotZ;Hand_X;Hand_Y;Hand_Z;Hand_RotX;Hand_RotY;Hand_RotZ
12,061;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,081;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,101;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,121;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,142;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,162;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,181;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,201;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,224;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,240;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,261;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,284;-3,2692;1,1176;-0,8754;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,300;-3,2522;1,1176;-0,8686;9,6000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,323;-3,2334;1,1176;-0,8609;8,6000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,344;-3,2139;1,1176;-0,8531;7,4000;68,1999;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,363;-3,1946;1,1176;-0,8454;6,8000;68,1999;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,383;-3,1759;1,1176;-0,8380;6,8000;68,4000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,403;-3,1674;1,1176;-0,8346;6,8000;68,4000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,421;-3,1658;1,1176;-0,8387;6,6000;68,3999;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,440;-3,1585;1,1176;-0,8572;6,6000;68,3999;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,462;-3,1505;1,1176;-0,8775;6,6000;68,3999;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,483;-3,1428;1,1176;-0,8968;6,6000;68,3999;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,500;-3,1362;1,1176;-0,9135;6,6000;68,3999;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,521;-3,1162;1,1176;-0,9271;6,6000;68,3999;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,543;-3,1014;1,1176;-0,9449;6,6000;68,3999;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,562;-3,0943;1,1176;-0,9628;6,6000;68,3999;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,580;-3,0880;1,1176;-0,9787;6,6000;68,1999;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,603;-3,0791;1,1176;-0,9999;5,6000;65,4000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,620;-3,0715;1,1176;-1,0157;4,8000;62,8000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,642;-3,0610;1,1176;-1,0351;4,4000;60,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,661;-3,0517;1,1176;-1,0505;4,6000;57,2000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,683;-3,0388;1,1176;-1,0690;5,6000;51,6000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,702;-3,0266;1,1176;-1,0833;6,8000;46,8000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,720;-3,0133;1,1176;-1,0968;7,8000;43,6000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,742;-2,9921;1,1176;-1,1038;8,8000;41,4000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,764;-2,9605;1,1176;-1,1011;10,8000;38,2000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,782;-2,9349;1,1176;-1,0975;11,4000;35,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,801;-2,9076;1,1176;-1,0920;11,2000;31,8000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,822;-2,8782;1,1176;-1,0845;10,2000;29,6000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,842;-2,8521;1,1176;-1,0771;9,4000;28,6000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,863;-2,8235;1,1176;-1,0683;5,8000;26,8000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,881;-2,8000;1,1176;-1,0604;2,2000;26,4000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,902;-2,7760;1,1176;-1,0601;1,6000;26,8000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,922;-2,7578;1,1176;-1,0693;2,2000;26,8000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,941;-2,7402;1,1176;-1,0782;3,6000;26,6000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,960;-2,7236;1,1176;-1,0864;3,4000;26,4000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,980;-2,7056;1,1176;-1,0953;1,6000;26,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
13,001;-2,6866;1,1176;-1,1045;1,4000;26,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
13,022;-2,6679;1,1176;-1,1137;1,4000;26,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
13,042;-2,6509;1,1176;-1,1220;1,6000;26,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
13,062;-2,6356;1,1176;-1,1382;1,6000;26,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
13,081;-2,6268;1,1176;-1,1638;1,6000;26,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
13,102;-2,6172;1,1176;-1,1915;1,6000;26,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
13,122;-2,6078;1,1176;-1,2190;1,6000;26,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
13,144;-2,5983;1,1176;-1,2465;1,6000;26,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
13,161;-2,5899;1,1176;-1,2709;1,6000;26,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
13,182;-2,5932;1,1176;-1,2930;1,6000;26,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
